UserId,Id,Name,Rating,User_Rating
1,1.0,"Harry Potter and the Half-Blood Prince (Harry Potter, #6)",4.57,1.02
1,2.0,"Harry Potter and the Order of the Phoenix (Harry Potter, #5)",4.5,3.28
1,3.0,"Harry Potter and the Sorcerer's Stone (Harry Potter, #1)",4.47,2.35
1,4.0,"Harry Potter and the Chamber of Secrets (Harry Potter, #2)",4.42,1.51
1,5.0,"Harry Potter and the Prisoner of Azkaban (Harry Potter, #3)",4.57,2.2
1,6.0,"Harry Potter and the Goblet of Fire (Harry Potter, #4)",4.5600000000000005,2.4
1,8.0,"Harry Potter Boxed Set, Books 1-5 (Harry Potter, #1-5)",4.78,2.59
1,9.0,"Unauthorized Harry Potter Book Seven News: ""Half-Blood Prince"" Analysis and Speculation",3.79,1.26
1,10.0,"Harry Potter Collection (Harry Potter, #1-6)",4.73,2.74
1,12.0,"The Ultimate Hitchhiker's Guide: Five Complete Novels and One Story (Hitchhiker's Guide to the Galaxy, #1-5)",4.37,4.49
2,13.0,"The Ultimate Hitchhiker's Guide to the Galaxy (Hitchhiker's Guide to the Galaxy, #1-5)",4.37,4.86
2,14.0,"The Hitchhiker's Guide to the Galaxy (Hitchhiker's Guide to the Galaxy, #1)",4.22,2.81
2,18.0,"The Ultimate Hitchhiker's Guide (Hitchhiker's Guide to the Galaxy, #1-5)",4.37,3.87
2,21.0,A Short History of Nearly Everything,4.21,1.65
2,22.0,Bill Bryson's African Diary,3.45,2.46
2,23.0,Bryson's Dictionary of Troublesome Words: A Writer's Guide to Getting It Right,3.88,4.4
2,24.0,In a Sunburned Country,4.07,3.55
2,25.0,I'm a Stranger Here Myself: Notes on Returning to America After Twenty Years Away,3.9,3.56
2,26.0,The Lost Continent: Travels in Small Town America,3.83,4.6
2,27.0,Neither Here nor There: Travels in Europe,3.86,3.88
3,28.0,Notes from a Small Island,3.92,2.71
3,29.0,The Mother Tongue: English and How It Got That Way,3.93,3.05
3,30.0,J.R.R. Tolkien 4-Book Boxed Set: The Hobbit and The Lord of the Rings,4.6,3.68
3,31.0,"The Lord of the Rings (The Lord of the Rings, #1-3)",4.5,1.66
3,34.0,"The Fellowship of the Ring (The Lord of the Rings, #1)",4.36,1.84
3,36.0,The Lord of the Rings: Weapons and Warfare,4.53,4.7
3,37.0,The Lord of the Rings: Complete Visual Companion,4.5,3.69
3,38.0,The Lord of the Rings Box Set,4.5,4.13
3,45.0,Agile Web Development with Rails: A Pragmatic Guide,3.84,2.18
3,46.0,Ruby Quickly: Ruby and Rails for the Real World,3.4,3.02
4,50.0,"Hatchet (Brian's Saga, #1)",3.72,1.35
4,51.0,"Hatchet: A Guide for Using ""Hatchet"" in the Classroom",4.0,1.84
4,53.0,Guts: The True Stories behind Hatchet and the Brian Books,3.88,1.83
4,54.0,Molly Hatchet - 5 of the Best,4.33,4.43
4,55.0,Hatchet Jobs: Writings on Contemporary Fiction,3.46,2.39
4,56.0,The Woodsman and His Hatchet: Eighty Years on Back Country Survival,3.6,1.61
4,57.0,A Changeling for All Seasons (Changeling Seasons #1),3.76,3.54
4,58.0,"Changeling (Changeling, #1)",3.6,2.63
4,59.0,The Changeling Sea,4.06,2.08
4,61.0,The Changeling,4.17,4.95
5,65.0,"Shadows in the Starlight (Changeling Detective, #2)",3.68,4.22
5,66.0,"The Changeling (Daughters of England, #15)",3.98,2.14
5,67.0,The Known World,3.83,4.69
5,71.0,"Traders, Guns & Money: Knowns and Unknowns in the Dazzling World of Derivatives",3.83,1.02
5,72.0,Artesia: Adventures in the Known World,4.13,2.34
5,74.0,"The John McPhee Reader (John McPhee Reader, #1)",4.42,3.3
5,75.0,Uncommon Carriers,3.95,2.95
5,76.0,Heirs of General Practice,4.16,4.99
5,77.0,The Control of Nature,4.24,2.2
5,78.0,Annals of the Former World,4.34,4.94
6,79.0,Coming Into the Country,4.22,3.78
6,80.0,La Place de la Concorde Suisse,3.92,3.96
6,81.0,Giving Good Weight,4.22,4.65
6,82.0,"The Second John McPhee Reader (John McPhee Reader, #2)",4.37,3.66
6,83.0,Rising from the Plains,4.23,2.22
6,85.0,The Heidi Chronicles,3.75,3.98
6,86.0,The Heidi Chronicles: Uncommon Women and Others & Isn't It Romantic,3.84,2.07
6,89.0,"Active Literacy Across the Curriculum: Strategies for Reading, Writing, Speaking, and Listening",3.94,3.88
6,90.0,Simply Beautiful Beaded Jewelry,3.77,3.18
6,91.0,Always Enough: God's Miraculous Provision Among the Poorest Children on Earth,4.46,2.73
7,92.0,Mapping the Big Picture: Integrating Curriculum & Assessment K-12,3.66,4.64
7,93.0,"Heidi (Heidi, #1-2)",3.99,3.73
7,94.0,Getting Results with Curriculum Mapping,3.25,3.96
7,95.0,"Cinnamon and Roses (Rose Trilogy, #1)",3.83,3.12
7,96.0,There's Always Enough: The Miraculous Move of God in Mozambique,4.46,3.24
7,98.0,What to Expect the First Year (What to Expect),3.89,1.77
7,99.0,The Player's Handbook: The Ultimate Guide on Dating and Relationships,3.82,1.87
7,100.0,Simply Beautiful Beading: 53 Quick and Easy Projects,3.78,2.05
7,101.0,Chasing Jordan,3.44,1.06
7,102.0,Seven-Year Seduction,3.61,3.54
8,103.0,"God Emperor of Dune (Dune Chronicles, #4)",3.85,1.66
8,104.0,"Dune (Dune Chronicles, #1)",4.23,4.83
8,105.0,Chapterhouse: Dune (Dune Chronicles #6),3.91,3.02
8,106.0,Dune Messiah (Dune Chronicles #2),3.88,2.24
8,107.0,Dreamer of Dune: The Biography of Frank Herbert,4.01,4.05
8,108.0,The Secrets of Frank Herbert's Dune,3.52,1.4
8,109.0,"Heretics of Dune (Dune Chronicles, #5)",3.86,1.12
8,110.0,The Road to Dune,3.88,4.13
