Id,Name,RatingDist1,RatingDist4,RatingDistTotal,Publisher,CountsOfReview,PublishYear,Language,Authors,Rating,RatingDist2,RatingDist5,RatingDist3
1,"Harry Potter and the Half-Blood Prince (Harry Potter, #6)",1:9896,4:556485,total:2298124,Scholastic Inc.,28062,2006,eng,J.K. Rowling,4.57,2:25317,5:1546466,3:159960
2,"Harry Potter and the Order of the Phoenix (Harry Potter, #5)",1:12455,4:604283,total:2358637,Scholastic Inc.,29770,2004,eng,J.K. Rowling,4.5,2:37005,5:1493113,3:211781
3,"Harry Potter and the Sorcerer's Stone (Harry Potter, #1)",1:108202,4:1513191,total:6587388,Scholastic Inc,75911,2003,eng,J.K. Rowling,4.47,2:130310,5:4268227,3:567458
4,"Harry Potter and the Chamber of Secrets (Harry Potter, #2)",1:11896,4:706082,total:2560657,Scholastic,244,2003,eng,J.K. Rowling,4.42,2:49353,5:1504505,3:288821
5,"Harry Potter and the Prisoner of Azkaban (Harry Potter, #3)",1:10128,4:630534,total:2610317,Scholastic Inc.,37093,2004,eng,J.K. Rowling,4.57,2:24849,5:1749958,3:194848
6,"Harry Potter and the Goblet of Fire (Harry Potter, #4)",1:9419,4:606800,total:2431085,Scholastic,31978,2002,eng,J.K. Rowling,4.5600000000000005,2:24282,5:1612165,3:178419
8,"Harry Potter Boxed Set, Books 1-5 (Harry Potter, #1-5)",1:402,4:4650,total:43968,Scholastic,166,2004,eng,J.K. Rowling,4.78,2:283,5:37432,3:1201
9,"Unauthorized Harry Potter Book Seven News: ""Half-Blood Prince"" Analysis and Speculation",1:0,4:7,total:28,Nimble Books,1,2005,en-US,W. Frederick Zimmerman,3.79,2:5,5:10,3:6
10,"Harry Potter Collection (Harry Potter, #1-6)",1:257,4:4358,total:30313,Scholastic,809,2005,eng,J.K. Rowling,4.73,2:218,5:24406,3:1074
12,"The Ultimate Hitchhiker's Guide: Five Complete Novels and One Story (Hitchhiker's Guide to the Galaxy, #1-5)",1:3443,4:75683,total:274268,Gramercy Books,255,2005,eng,Douglas Adams,4.37,2:7613,5:157499,3:30030
13,"The Ultimate Hitchhiker's Guide to the Galaxy (Hitchhiker's Guide to the Galaxy, #1-5)",1:3443,4:75683,total:274268,Del Rey Books,4119,2002,eng,Douglas Adams,4.37,2:7613,5:157499,3:30030
14,"The Hitchhiker's Guide to the Galaxy (Hitchhiker's Guide to the Galaxy, #1)",1:28636,4:396332,total:1350083,Crown,470,2004,eng,Douglas Adams,4.22,2:54163,5:682711,3:188241
18,"The Ultimate Hitchhiker's Guide (Hitchhiker's Guide to the Galaxy, #1-5)",1:3443,4:75683,total:274268,Wings Books,194,1996,eng,Douglas Adams,4.37,2:7613,5:157499,3:30030
21,A Short History of Nearly Everything,1:5140,4:94040,total:276166,Broadway Books,9545,2004,eng,Bill Bryson,4.21,2:9367,5:129555,3:38064
22,Bill Bryson's African Diary,1:249,4:2409,total:8393,Broadway Books,503,2002,eng,Bill Bryson,3.45,2:985,5:1408,3:3342
23,Bryson's Dictionary of Troublesome Words: A Writer's Guide to Getting It Right,1:36,4:1069,total:2656,Broadway Books,131,2004,eng,Bill Bryson,3.88,2:128,5:729,3:694
24,In a Sunburned Country,1:987,4:34941,total:85287,Broadway Books,4298,2001,eng,Bill Bryson,4.07,2:2900,5:30483,3:15976
25,I'm a Stranger Here Myself: Notes on Returning to America After Twenty Years Away,1:741,4:22652,total:56082,Broadway Books,2224,2000,eng,Bill Bryson,3.9,2:2709,5:15891,3:14089
26,The Lost Continent: Travels in Small Town America,1:1373,4:18427,total:49012,William Morrow Paperbacks,2276,1990,eng,Bill Bryson,3.83,2:3219,5:14013,3:11980
27,Neither Here nor There: Travels in Europe,1:1172,4:20655,total:54388,William Morrow Paperbacks,2264,1993,eng,Bill Bryson,3.86,2:3305,5:15888,3:13368
